שם הארגון,סוג הארגון,תחום השירות העיקרי,Value
    wisegal,אחר:,אחר:,NA
    wisegal,עסק פרטי,אחר:,NA
 Bettercare,סטארט אפ,סיעוד,aging4good
 Bettercare,סטארט אפ,סיעוד,אגף הגריאטריה במשרד הבריאות
 Bettercare,סטארט אפ,סיעוד,ג'וינט אשל
 I know,אחר:,אחר:,NA
 I know,אחר:,אחר:,עמותת מחשבה טובה
 I know,עסק עצמאי,אחר:,NA
 I know,עסק עצמאי,אחר:,עמותת מחשבה טובה
 קשת האגודה למען הקשיש,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,NA
 קשת האגודה למען הקשיש,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,א.ב.א - איגוד בתי אבות ודיור מוגן בישראל
ActiveAging,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
ActiveAging,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,מכבי שירותי בריאות
ActiveAging,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,קופת חולים כללית
ActiveAging,סטארט אפ,נגישות לשירותים,NA
ActiveAging,סטארט אפ,נגישות לשירותים,קופת חולים כללית
agingdigital,סטארט אפ,אחר:,NA
agingdigital,סטארט אפ,אחר:,חברת בשיבה טובה
agingdigital,סטארט אפ,נגישות לשירותים,NA
Alango - BeHear,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
Alango - BeHear,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,איזי גל (חברת Amity)
Alango - BeHear,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,אלכסנדר גולדין
Alango - BeHear,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
Alango - BeHear,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,המוסד לביטוח לאומי
Alango - BeHear,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,קרן אטקין
AloneLess,סטארט אפ,הפגת בדידות,ג'וינט אשל
AloneLess,סטארט אפ,הפגת בדידות,המשרד לשוויון חברתי
AloneLess,סטארט אפ,הפגת בדידות,עמותת מטב
Atvisor.ai,סטארט אפ,אחר:,ג'וינט אשל
Atvisor.ai,סטארט אפ,אחר:,משרד העבודה והרווחה
Atvisor.ai,סטארט אפ,אחר:,עמותת מטב
balanseat,סטארט אפ,מניעת נפילות,NA
basicsmartphone,חברה מסחרית - תחום עסקי אחר,אחר:,NA
basicsmartphone,חברה מסחרית - תחום עסקי אחר,אחר:,אביב לניצולי השואה
BDP,יזם המתכנן להקים אקסלרטור ליזמים טכנוולגיים בתחומי אימפקט חברתי,אחר:,NA
BDP,יזם המתכנן להקים אקסלרטור ליזמים טכנוולגיים בתחומי אימפקט חברתי,אחר:,עיריית רמת השרון
BDP,יזם המתכנן להקים אקסלרטור ליזמים טכנוולגיים בתחומי אימפקט חברתי,אחר:,עמותת עמדא
BDP,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
BDP,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,עיריית רמת השרון
BDP,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,עמותת עמדא
Belong.Life,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
Belong.Life,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,גרונטולוגים (כללי)
BIRAD,מכון אקדמי/מחקר,ירידה קוגנטיבית ודמנציה,גריאטרים (כללי)
BIRAD,מכון אקדמי/מחקר,ירידה קוגנטיבית ודמנציה,המשרד לשוויון חברתי
BIRAD,מכון אקדמי/מחקר,ירידה קוגנטיבית ודמנציה,קופות החולים (כללי)
Bridge,סטארט אפ,אוריינות דיגיטלית,NA
Bridge,סטארט אפ,אוריינות דיגיטלית,ג'וינט אשל
BridgeIT,סטארט אפ,אוריינות דיגיטלית,NA
BridgeIT,סטארט אפ,אוריינות דיגיטלית,תוכנית זמן עתיד
bridgesalon,אחר:,אחר:,NA
bridgesalon,עסק פרטי,אחר:,NA
Caregivers Israel,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
Caregivers Israel,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
climber.ltd,משרד ממשלתי,מניעת נפילות,NA
climber.ltd,משרד ממשלתי,מניעת נפילות,Senior maeket
cognishape,סטארט אפ,ירידה קוגנטיבית ודמנציה,NA
cognishape,סטארט אפ,ירידה קוגנטיבית ודמנציה,ג'וינט אשל
cognishape,סטארט אפ,ירידה קוגנטיבית ודמנציה,קרן אטקין
Cognishine Therapy and Education LTD,סטארט אפ,ירידה קוגנטיבית ודמנציה,NA
Cognishine Therapy and Education LTD,סטארט אפ,ירידה קוגנטיבית ודמנציה,ג'וינט אשל
Communit,חברה מסחרית - תחום עסקי אחר,אחר:,NA
Communit,סטארט אפ,הפגת בדידות,NA
Communit,סטארט אפ,הפגת בדידות,א.ב.א - איגוד בתי אבות ודיור מוגן בישראל
Communit,סטארט אפ,הפגת בדידות,"ד""ר רינת בן נון"
DCC movement program,אחר:,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,חברות סטארט אפ (כללי)
DCC movement program,אחר:,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,קופות החולים (כללי)
DCC movement program,אחר:,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,רופאי משפחה (כללי)
DCC movement program,מקדמת בריאות ופעילות גופנית לגיל השלישי בעלים של מרכז  פרטי לפעילות גופנית,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,חברות סטארט אפ (כללי)
DCC movement program,מקדמת בריאות ופעילות גופנית לגיל השלישי בעלים של מרכז  פרטי לפעילות גופנית,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,קופות החולים (כללי)
DCC movement program,מקדמת בריאות ופעילות גופנית לגיל השלישי בעלים של מרכז  פרטי לפעילות גופנית,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,רופאי משפחה (כללי)
Effectivate,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,NA
Effectivate,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,אגף הגריאטריה במשרד הבריאות
Effectivate,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,מגדלי הים התיכון
Effectivate,סטארט אפ,ירידה קוגנטיבית ודמנציה,Effectivate
Effectivate,סטארט אפ,ירידה קוגנטיבית ודמנציה,NA
Eppler Consulting,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,NA
Eppler Consulting,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,ג'וינט אשל
Eppler Consulting,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,האגודה הישראלית לגרונטולוגיה
EYE CLICK,חברה מסחרית - תחום עסקי אחר,אחר:,NA
eyeknow,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
eyeknow,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,Uniper
Ez4u,אחר:,שיקום,NA
Ez4u,אחר:,שיקום,ג'וינט אשל
Ez4u,עסק פרטי,שיקום,NA
Ez4u,עסק פרטי,שיקום,ג'וינט אשל
Fintech for Longevity,חברה מסחרית - תחום עסקי אחר,אחר:,NA
Fintech for Longevity,חברה מסחרית - תחום עסקי אחר,אחר:,חברת בשיבה בריאה
Food Fix,סטארט אפ,אחר:,NA
Food Fix,סטארט אפ,אחר:,ג'וינט אשל
futuring up,סטארט אפ,אחר:,NA
futuring up,סטארט אפ,אחר:,ג'וינט אשל
GaitBetter,סטארט אפ,מניעת נפילות,GaitBetter Ltd
GaitBetter,סטארט אפ,מניעת נפילות,Senior maeket
GaitBetter,סטארט אפ,מניעת נפילות,ישראל דיגיטלית
GaitBetter Ltd,סטארט אפ,מניעת נפילות,NA
GaitBetter Ltd,סטארט אפ,מניעת נפילות,ג'וינט אשל
GaitBetter Ltd,סטארט אפ,מניעת נפילות,מרכזי יום לקשישים (כללי)
geocare-watch-me,חברה מסחרית - תחום עסקי אחר,ירידה קוגנטיבית ודמנציה,NA
geocare-watch-me,חברה מסחרית - תחום עסקי אחר,ירידה קוגנטיבית ודמנציה,עמותת מטב
GMCE HUB,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
GMCE HUB,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,המרחב ליזמות 60+-
Go Seniorz,סטארט אפ,אחר:,NA
Go Seniorz,סטארט אפ,אחר:,המשרד לשוויון חברתי
Grand Apps,סטארט אפ,הפגת בדידות,NA
Grand Apps,סטארט אפ,הפגת בדידות,אוניברסיטת חיפה
Grand Apps,סטארט אפ,הפגת בדידות,הטכניון - בינוי ערים
hey life,סטארט אפ,עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,NA
HIT מכון טכנולוגי,מכון אקדמי/מחקר,אחר:,NA
HIT מכון טכנולוגי,מכון אקדמי/מחקר,אחר:,המוסד לביטוח לאומי
HIT מכון טכנולוגי,מכון אקדמי/מחקר,ירידה קוגנטיבית ודמנציה,NA
HomeSigns,סטארט אפ,אחר:,NA
Inclu Design Studio,אחר:,אחר:,NA
Inclu Design Studio,אחר:,אחר:,יעל אבני - HIT
Inclu Design Studio,מעצבת תעשייתית מכלילה ומתמחה בעיצוב לאנשים מבוגרים ועם צרכים מיוחדים,אחר:,NA
Inclu Design Studio,מעצבת תעשייתית מכלילה ומתמחה בעיצוב לאנשים מבוגרים ועם צרכים מיוחדים,אחר:,יעל אבני - HIT
inndigital.org,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,NA
inndigital.org,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,"החברה למתנ""סים"
inndigital.org,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,משרד העבודה והרווחה
Israel Africa Social Work,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
Israel Africa Social Work,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,משרד העבודה והרווחה
JOON,חברה מסחרית - תחום עסקי אחר,אחר:,NA
JOON,חברה מסחרית - תחום עסקי אחר,אחר:,דוקטור דנה פאר
JOON,חברה מסחרית - תחום עסקי אחר,אחר:,עמותת עמדא
Life Stone,אחר:,אוריינות דיגיטלית,NA
Life Stone,אחר:,אוריינות דיגיטלית,קהילות מקומיות (כללי)
Life Stone,עסק פרטי,אוריינות דיגיטלית,NA
Life Stone,עסק פרטי,אוריינות דיגיטלית,קהילות מקומיות (כללי)
Long play,גרונטולוג,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אקדמיה (כללי)
Long play,גרונטולוג,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
Long play,גרונטולוג,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,הרשויות המקומיות (כללי)
M Group,אחר:,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
M Group,עסק פרטי,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
mellie,סטארט אפ,אחר:,NA
mellie,סטארט אפ,אחר:,ג'וינט אשל
MemoApp,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,MemoApp
MemoApp,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,NA
MemoApp,סטארט אפ,ירידה קוגנטיבית ודמנציה,MemoApp
MemoApp,סטארט אפ,ירידה קוגנטיבית ודמנציה,ג'וינט אשל
MemoApp,סטארט אפ,ירידה קוגנטיבית ודמנציה,קהילת AgingIL
N.T.W,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,המוסד לביטוח לאומי
N.T.W,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,משרד הבריאות
N.T.W,סטארט אפ,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,משרד העבודה והרווחה
NA,NA,,NA
NA,NA,NA,NA
NA,NA,NA,אגף הגריאטריה במשרד הבריאות
NA,NA,NA,המשרד לשוויון חברתי
NA,NA,אחר:,Caregivers Israel
NA,NA,אחר:,NA
NA,NA,אחר:,אגף הגריאטריה במשרד הבריאות
NA,Startup,NA,NA
NA,אחר:,,NA
NA,אחר:,NA,NA
NA,אחר:,NA,אגף הגריאטריה במשרד הבריאות
NA,אחר:,אחר:,NA
NA,אחר:,אחר:,אגף הגריאטריה במשרד הבריאות
NA,אחר:,אחר:,בריאות
NA,אחר:,אחר:,משרד העבודה והרווחה
NA,אחר:,בריאות הנפש,NA
NA,אחר:,בריאות הנפש,אגף הגריאטריה במשרד הבריאות
NA,אחר:,בריאות הנפש,האגודה הישראלית לגרונטולוגיה
NA,אחר:,בריאות הנפש,פרופסור איסי דורון
NA,אחר:,הפגת בדידות,NA
NA,אחר:,ירידה קוגנטיבית ודמנציה,NA
NA,אחר:,ירידה קוגנטיבית ודמנציה,אגף הגריאטריה במשרד הבריאות
NA,אחר:,ניצולי שואה,NA
NA,אחר:,ניצולי שואה,אגף הגריאטריה במשרד הבריאות
NA,אחר:,סיעוד,גופים פרטיים (כללי)
